CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Valor
08340020,LOIC-1800 SUPERCFC-1,Arapoti,PR,2003-12-30,11039.56
08417020,GILON 11000 (DT DE LINHA)GILON,Arapoti,PR,2003-12-30,14046.78
08357020,LEC-5 -> FLLEC-5,Jambeiro,SP,2003-12-31,5896.00
08339020,LOIC-1800 SUPERCFC-1,Mundo Novo,BA,2004-01-06,9699.05
08342020,LOIC-1300 SUPERCFC-1,Salvador Do Sul,RS,2004-01-15,10012.99
08417020,GILON 11000 (DT DE LINHA)GILON,Salvador Do Sul,RS,2004-01-15,14608.81
08343020,LOIC-1800 SUPER (USADA)CFC-1,S.J. Do Cedro,SC,2004-01-16,9808.80
08342020,LOIC-1300 SUPERCFC-1,Iturama,MG,2004-01-20,10157.07
013026020,LILC-180AP - FLCRC-1,Campo Grande,MS,2004-01-21,19420.29
08345020,LOIC-1800S USADACFC-1,Sao Carlos,SP,2004-01-30,2680.00
013146020,CMC-170 CM --> DT DECMC-1,Campo Grande,MS,2004-01-30,14194.94
08339020,LOIC-1800 SUPERCFC-1,Goiania,GO,2004-02-02,12428.99
08339020,LOIC-1800 SUPERCFC-1,Presidente Prud,SP,2004-02-02,11186.09
08339020,LOIC-1800 SUPERCFC-1,Carambei,PR,2004-02-04,12400.50
08390020,TMY 753 - FLTMW 7,Carambei,PR,2004-02-04,42511.81
02317020,LOIC-1800 -> FLCFC-1,Brasilia,DF,2004-02-10,14013.68
08339020,LOIC-1800 SUPERCFC-1,Prata,MG,2004-02-10,13104.09
08342020,LOIC-1300 SUPERCFC-1,Jaraguari,MS,2004-02-12,11279.31
08339020,LOIC-1800 SUPERCFC-1,Itanhandu,MG,2004-02-19,11616.19
08342020,LOIC-1300 SUPERCFC-1,Joao Pinheiro,MG,2004-03-02,12428.99
08935020,RY-150C - FLRW-15,Goiania,GO,2004-03-02,59555.56
08387020,TMY 603 - FLTMW 6,Castro,PR,2004-03-05,30309.12
013146020,CMC-170 CM --> DT DECMC-1,Buri,SP,2004-03-11,14241.55
09413020,LILC-150AP 48 FACAS - FLCRC-1,Glicerio,SP,2004-03-11,15536.23
09185020,LILC-180AP - FLCRC-1,Luziania,GO,2004-03-13,21232.85
08339020,LOIC-1800 SUPERCFC-1,Joao Pinheiro,MG,2004-03-17,16054.11
08339020,LOIC-1800 SUPERCFC-1,Sao Caetano Do S,SP,2004-03-17,9320.18
08422020,GILON 18000HGILON,Ituiutaba,MG,2004-03-20,28540.06
014745020,VM-450VM-45,Arandu,SP,2004-03-26,20973.92
09185020,LILC-180AP - FLCRC-1,Llllllllll,SP,2004-03-31,17607.73
014742020,VM-250 - FLVM-25,Bento Goncalves,RS,2004-04-01,16267.47
08339020,LOIC-1800 SUPERCFC-1,Araraquara,SP,2004-04-05,14759.42
017922020,CMC 100 PRECISIONCMC 1,Orlandia,SP,2004-04-08,5178.75
012189020,RY-110T - FLRW-11,Orlandia,SP,2004-04-08,48680.20
012189020,RY-110T - FLRW-11,Ituiutaba,MG,2004-04-13,52236.28
08339020,LOIC-1800 SUPERCFC-1,Arapoti,PR,2004-04-15,12687.92
017124020,CMC-100 QGCMC-1,Itai,SP,2004-04-15,5719.92
09185020,LILC-180AP - FLCRC-1,Araraquara,SP,2004-04-16,22134.99
08384020,TMY 353 - FLTMW 3,Casemiro De Abr,RJ,2004-04-16,25362.90
08339020,LOIC-1800 SUPERCFC-1,Alvorada,TO,2004-04-22,12685.34
014668020,RY-200C - FLRW-20,Barra Do Garcas,MT,2004-04-22,78544.46
014668020,RY-200C - FLRW-20,Barra Do Garcas,MT,2004-04-22,78544.46
08387020,TMY 603 - FLTMW 6,Sao Bento Abade,MG,2004-04-30,32602.78
014668020,RY-200C - FLRW-20,Barra Do Garcas,MT,2004-05-03,78544.46
08339020,LOIC-1800 SUPERCFC-1,Castro,PR,2004-05-06,13402.59
08423020,GILON 18000CGILON,Caceres,MT,2004-05-06,28540.06
08339020,LOIC-1800 SUPERCFC-1,Videira,SC,2004-05-07,13205.80
012189020,RY-110T - FLRW-11,Ituiutaba,MG,2004-05-10,50233.82
09185020,LILC-180AP - FLCRC-1,Itaqui,RS,2004-05-12,20611.40
08339020,LOIC-1800 SUPERCFC-1,Arapoti,PR,2004-05-14,13671.89
09185020,LILC-180AP - FLCRC-1,Ituiutaba,MG,2004-05-14,17607.73
08390020,TMY 753 - FLTMW 7,Arapoti,PR,2004-05-14,39825.58
08417020,GILON 11000 (DT DE LINHA)GILON,Varjao,GO,2004-05-17,19245.77
014745020,VM-450VM-45,Pontal Do Aragu,MT,2004-05-17,13185.09
08339020,LOIC-1800 SUPERCFC-1,Sorriso,MT,2004-05-18,12397.92
08384020,TMY 353 - FLTMW 3,Sao Joao Batista,MG,2004-05-20,29000.97
08339020,LOIC-1800 SUPERCFC-1,Iomere,SC,2004-05-21,15292.84
08339020,LOIC-1800 SUPERCFC-1,Xanxere,SC,2004-05-24,11040.05
013146020,CMC-170 CM --> DT DECMC-1,Varjao,GO,2004-05-27,17914.32
08417020,GILON 11000 (DT DE LINHA)GILON,Varjao,GO,2004-05-27,18365.38
09185020,LILC-180AP - FLCRC-1,Linhares,ES,2004-05-28,18643.48
08413020,VM-250 -> FLVM-25,Patos De Minas,MG,2004-06-01,13982.61
08344020,LOIC-1800SCFC-1,Iturama,MG,2004-06-03,9839.61
013146020,CMC-170 CM --> DT DECMC-1,Itaquirai,MS,2004-06-04,4143.00
08390020,TMY 753 - FLTMW 7,Rancharia,SP,2004-06-14,34076.14
08342020,LOIC-1300 SUPERCFC-1,Campo Grande,MS,2004-06-14,13982.61
08343020,LOIC-1800 SUPER (USADA)CFC-1,Tatui,SP,2004-06-17,8160.60
013585020,TMY 3400 - USADTMW 3,Lins,SP,2004-06-18,10184.00
09355020,VM-11S/YVM-11,Glicerio,SP,2004-06-18,49715.95
013146020,CMC-170 CM --> DT DECMC-1,Aruana,GO,2004-06-19,16571.98
08417020,GILON 11000 (DT DE LINHA)GILON,Prata,MG,2004-06-21,14053.64
014668020,RY-200C - FLRW-20,Turvania,GO,2004-06-23,88297.58
02317020,LOIC-1800 -> FLCFC-1,Maringa,PR,2004-06-23,14241.55
013146020,CMC-170 CM --> DT DECMC-1,Marilandia Sul,PR,2004-06-23,14231.19
09362020,LOIC-2000 SUPER (USADA)CFC-2,Marilandia Do Su,PR,2004-06-28,19755.35
08417020,GILON 11000 (DT DE LINHA)GILON,Auriflama,SP,2004-06-30,14925.41
010095020,RY-150T - FLRW-15,Orlandia,SP,2004-07-07,51787.44
019468020,MISTURADORA SILTOMACMISTU,Valparaiso,SP,2004-07-08,12060.00
010492020,LEC-8511->FLLEC-8,Llllllllll,SP,2004-07-23,29522.37
08389020,TMY 603LIL - FLTMW 6,Quirinopolis,GO,2004-07-27,45055.08
09339020,TMY 753 - FL1TMW 7,Martinho Campos,MG,2004-07-30,41896.04
08710020,TMY 1303 - FLTMW 1,Capinopolis,MG,2004-08-02,64661.01
09597020,TMY 603 (USADA)TMW 6,Boa Esperanca Do,SP,2004-08-05,27872.00
08700020,TMY 353 - FL1TMW 3,Cachoeira Paulis,SP,2004-08-20,30478.43
08794020,TMY 353LIL - FLTMW 3,Votuporanga,SP,2004-08-20,38063.77
019702020,TMY 753 - FL2TMW 7,Caarapo,MS,2004-08-26,40410.72
010912020,LOIC-2000S - USADACFC-2,Sao Carlos,SP,2004-08-27,12611.77
08425020,GILON 25000SGILON,Castilho,SP,2004-09-06,57977.34
09361020,LILC-150AP 24 FACAS - FLCRC-1,Itapeva,SP,2004-09-08,16805.18
08425020,GILON 25000SGILON,Castilho,SP,2004-09-16,49921.57
08425020,GILON 25000SGILON,Castilho,SP,2004-09-17,8055.77
