CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
9,Tipo_F_15-20,BARRA DO GARCAS,MT,2004-05-03,1,60080.6497
1,Tipo_A,CASTRO,PR,2004-05-06,1,10251.9844
1,Tipo_A,VIDEIRA,SC,2004-05-07,1,10101.4529
7,Tipo_F_0-11,ITUIUTABA,MG,2004-05-10,1,38425.1221
1,Tipo_A,ITAQUI,RS,2004-05-12,1,15766.1851
1,Tipo_A,ARAPOTI,PR,2004-05-14,1,10457.9725
1,Tipo_A,ITUIUTABA,MG,2004-05-14,1,13468.6025
14,Tipo_H_6-10,ARAPOTI,PR,2004-05-14,1,30463.5945
19,Tipo_K,VARJAO,GO,2004-05-17,1,14721.5789
17,Tipo_J_2-8,PONTAL DO ARAGU,MT,2004-05-17,1,10085.6064
1,Tipo_A,SORRISO,MT,2004-05-18,1,9483.4804
13,Tipo_H_2-5,SAO JOAO BATISTA,MG,2004-05-20,1,22183.5789
1,Tipo_A,IOMERE,SC,2004-05-21,1,11697.8781
1,Tipo_A,XANXERE,SC,2004-05-24,1,8444.8151
1,Tipo_A,VARJAO,GO,2004-05-27,1,13703.1143
19,Tipo_K,VARJAO,GO,2004-05-27,1,14048.1457
1,Tipo_A,LINHARES,ES,2004-05-28,1,14260.8701
1,Tipo_A,ITAQUIRAI,MS,2004-06-04,1,3169.0827
14,Tipo_H_6-10,RANCHARIA,SP,2004-06-14,1,26065.7008
1,Tipo_A,CAMPO GRANDE,MS,2004-06-14,1,10695.6536
1,Tipo_A,TATUI,SP,2004-06-17,1,6242.25
13,Tipo_H_2-5,LINS,SP,2004-06-18,1,7790
1,Tipo_A,ARUANA,GO,2004-06-19,1,12676.3308
19,Tipo_K,PRATA,MG,2004-06-21,1,10749.9827
9,Tipo_F_15-20,TURVANIA,GO,2004-06-23,1,67541.063
1,Tipo_A,MARILANDIA SUL,PR,2004-06-23,1,10885.7993
19,Tipo_K,AURIFLAMA,SP,2004-06-30,1,11416.8231
9,Tipo_F_15-20,ORLANDIA,SP,2004-07-07,1,39613.5276
14,Tipo_H_6-10,QUIRINOPOLIS,GO,2004-07-27,1,34463.7718
15,Tipo_H_12-15,CAPINOPOLIS,MG,2004-08-02,1,49460.8461
14,Tipo_H_6-10,BOA ESPERANCA DO,SP,2004-08-05,1,21320
13,Tipo_H_2-5,CACHOEIRA PAULIS,SP,2004-08-20,1,23313.7275
13,Tipo_H_2-5,VOTUPORANGA,SP,2004-08-20,1,29115.945
1,Tipo_A,PALACIO DURANGO-,EX,2004-08-23,1,26390.88
1,Tipo_A,PALACIO DURANGO-,EX,2004-08-23,1,14661.6
17,Tipo_J_2-8,PALACIO DURANGO-,EX,2004-08-23,1,15795.4304
14,Tipo_H_6-10,CAARAPO,MS,2004-08-26,1,30911.1874
1,Tipo_A,SAO CARLOS,SP,2004-08-27,1,9647.0622
1,Tipo_A,SANTIAGO-CHILE,EX,2004-08-30,1,7039.167
1,Tipo_A,SANTIAGO-CHILE,EX,2004-08-30,1,19835.964
1,Tipo_A,SANTIAGO-CHILE,EX,2004-08-30,1,9591.0972
19,Tipo_K,SANTIAGO-CHILE,EX,2004-08-30,1,8954.6624
1,Tipo_A,PALACIO DURANGO-,EX,2004-09-02,1,21623.4
12,Tipo_G,PALACIO DURANGO-,EX,2004-09-02,1,4204.55
17,Tipo_J_2-8,PALACIO DURANGO-,EX,2004-09-02,1,7765.2032
19,Tipo_K,CASTILHO,SP,2004-09-06,1,44348.3347
1,Tipo_A,ITAPEVA,SP,2004-09-08,1,12854.7095
19,Tipo_K,CASTILHO,SP,2004-09-16,1,38186.2766
19,Tipo_K,CASTILHO,SP,2004-09-17,1,6162.0622
1,Tipo_A,FORTALEZA,CE,2004-09-22,1,12038.7275
1,Tipo_A,FORTALEZA,CE,2004-09-22,1,12038.7275
1,Tipo_A,PALACIO DURANGO-,EX,2004-09-22,1,3530.1
1,Tipo_A,PALACIO DURANGO-,EX,2004-09-22,1,3530.1
14,Tipo_H_6-10,PALACIO DURANGO-,EX,2004-09-22,1,16273.761
17,Tipo_J_2-8,PALACIO DURANGO-,EX,2004-09-22,1,7606.1888
17,Tipo_J_2-8,PALACIO DURANGO-,EX,2004-09-22,1,7606.1888
1,Tipo_A,CACERES,MT,2004-09-27,1,16609.1
19,Tipo_K,FORTALEZA,CE,2004-10-01,1,12058.8257
17,Tipo_J_2-8,TAMARANA,PR,2004-10-08,1,16078.4329
1,Tipo_A,SAO CARLOS,SP,2004-10-11,1,6029.4149
1,Tipo_A,ARANDU,SP,2004-10-13,1,8039.2185
1,Tipo_A,NOVA EUROPA,SP,2004-10-19,1,6913.7275
1,Tipo_A,NOSSA SENHORA DO,SE,2004-10-25,1,8200
7,Tipo_F_0-11,UBERABA,MG,2004-10-25,1,41911.6473
15,Tipo_H_12-15,ITUIUTABA,MG,2004-10-27,1,46252.0713
1,Tipo_A,REDENCAO,PA,2004-11-05,1,15061.473
14,Tipo_H_6-10,TRES PONTAS,MG,2004-11-08,1,27361.473
14,Tipo_H_6-10,COCALINHO,MT,2004-11-08,1,36176.473
1,Tipo_A,SAO CARLOS,SP,2004-11-11,1,6029.4149
1,Tipo_A,BRAS. DE MINAS,MG,2004-11-12,1,19334.3167
7,Tipo_F_0-11,BARRETOS,SP,2004-11-12,1,49573.8257
9,Tipo_F_15-20,RIBAS DO RIO PAR,MS,2004-11-12,1,90709.8637
1,Tipo_A,INCONFIDENTES,MG,2004-11-16,1,13505.8838
1,Tipo_A,CASTRO,PR,2004-11-17,1,10692.1604
17,Tipo_J_2-8,AVARE,SP,2004-11-18,1,13666.6694
1,Tipo_A,PATOS DE MINAS,MG,2004-11-25,1,4662.7455
19,Tipo_K,ARARAQUARA,SP,2004-11-29,1,12058.8257
1,Tipo_A,SANTIAGO-CHILE,EX,2004-11-30,1,6884.1993
1,Tipo_A,SANTIAGO-CHILE,EX,2004-11-30,1,6884.1952
1,Tipo_A,SANTIAGO-CHILE,EX,2004-11-30,1,6884.1952
1,Tipo_A,SANTIAGO-CHILE,EX,2004-11-30,1,6884.1993
17,Tipo_J_2-8,PATOS DE MINAS,MG,2004-11-30,1,14470.5892
1,Tipo_A,ARAPOTI,PR,2004-12-01,1,20821.5712
1,Tipo_A,CANOAS,RS,2004-12-02,1,2612.7455
