CódigoItem,Descricao,Cidade Entrega,UF,Data Emissão NF,Quantidade,Valor
6,Tipo_F_Mini,BEBEDOURO,SP,2015-07-14,1,16564
7,Tipo_F_0-11,BEBEDOURO,SP,2016-02-24,1,45069.25000000
4,Tipo_D,BEBEDOURO,SP,2016-02-25,1,20603.09450000
7,Tipo_F_0-11,BEBEDOURO,SP,2016-02-29,1,61509.24140000
13,Tipo_H_2-5,CASA BRANCA,SP,2020-02-14,1,34631.88000000
17,Tipo_J_2-8,CASA BRANCA,SP,2020-03-13,1,25225.66000000
13,Tipo_H_2-5,MOGI-MIRIM,SP,2015-10-06,1,37269
13,Tipo_H_2-5,MOGI-MIRIM,SP,2015-12-01,1,27024.33000000
17,Tipo_J_2-8,MOGI-MIRIM,SP,2017-05-25,1,28632.41150000
14,Tipo_H_6-10,MOGI-MIRIM,SP,2017-07-04,1,42690.43000000
4,Tipo_D,GUAIRA,SP,2015-05-22,1,20193.32000000
7,Tipo_F_0-11,GUAIRA,SP,2019-03-12,1,63550
17,Tipo_J_2-8,MONTE AZUL PAULISTA,SP,2016-02-15,1,21715.60900000
17,Tipo_J_2-8,CATANDUVA,SP,2018-06-04,1,29517.95000000
14,Tipo_H_6-10,ÁGUAI,SP,2020-06-02,1,59675.50000000
6,Tipo_F_Mini,UBERABA,MG,2015-11-10,1,18746.02000000
6,Tipo_F_Mini,UBERABA,MG,2015-11-10,1,18746.02000000
13,Tipo_H_2-5,UBERABA,MG,2017-06-14,1,40180
7,Tipo_F_0-11,UBERABA,MG,2019-05-20,1,48585
7,Tipo_F_0-11,UBERABA,MG,2019-07-17,1,49405
8,Tipo_F_0-11_Z,UBERABA,MG,2019-09-09,1,69546.25000000
7,Tipo_F_0-11,UBERABA,MG,2019-11-18,1,48585
8,Tipo_F_0-11_Z,UBERABA,MG,2020-03-03,1,63222
7,Tipo_F_0-11,UBERABA,MG,2020-03-26,1,38622
7,Tipo_F_0-11,SÃO JOSÉ DO RIO PRETO,SP,2015-06-17,1,38171
14,Tipo_H_6-10,SÃO JOSÉ DO RIO PRETO,SP,2015-06-29,1,42162.76000000
7,Tipo_F_0-11,SÃO JOSÉ DO RIO PRETO,SP,2015-09-25,1,54325
7,Tipo_F_0-11,SÃO JOSÉ DO RIO PRETO,SP,2015-11-05,1,45100
7,Tipo_F_0-11,SÃO JOSÉ DO RIO PRETO,SP,2015-11-25,1,44861.79000000
